Art,cap,ven,std,
38.192,NaN,69.652,0.81605,NaN,1.7221
31.267,NaN,43.331,0.50651,NaN,1.4494
26.806,9.6246,36.067,0.52871,0,1.3086
23.595,12.532,35.923,0.44871,1.5334,1.8584
20.6,10.728,32.333,0.32616,0.81752,1.3266
18.691,10.613,29.057,0.28033,0.32562,0.98552
17.009,10.511,28.741,0.23061,0.25158,1.4175
15.856,10.482,26.284,0.28523,0.11373,1.0031
14.821,10.766,25.098,0.20637,0.11945,0.67791
14.325,10.852,24.41,0.1471,0.1175,0.8765
14.006,10.577,23.539,0.1804,0.10217,0.95455
13.506,10.718,23.572,0.15365,0.10634,0.56698
13.305,10.712,23.459,0.18523,0.12964,0.66927
12.968,10.463,23.365,0.24616,0.13502,1.0658
12.566,10.835,22.95,0.32298,0.15389,0.76347
12.305,10.954,22.89,0.44325,0.34425,0.76754
11.882,10.361,22.804,0.70198,0.47775,0.82734
11.315,11.275,22.278,4.2667,0.48992,0.72534
13.48,10.246,21.754,0,0.54925,0.59236
11.393,8.422,21.168,0,0,0.44411
NaN,9.6482,21.808,NaN,0,0.62312
NaN,NaN,21.422,NaN,NaN,0.71238
NaN,NaN,20.369,NaN,NaN,0.61615
NaN,NaN,21.005,NaN,NaN,0.69673
NaN,NaN,19.913,NaN,NaN,0.5811
NaN,NaN,20.446,NaN,NaN,0.75457
NaN,NaN,20.065,NaN,NaN,0.57638
NaN,NaN,20.51,NaN,NaN,0.62952
NaN,NaN,20.116,NaN,NaN,0.54246
NaN,NaN,19.096,NaN,NaN,0.63358
NaN,NaN,19.759,NaN,NaN,0.73167
NaN,NaN,18.362,NaN,NaN,0.49472
NaN,NaN,19.465,NaN,NaN,0.61827
NaN,NaN,19.714,NaN,NaN,0.56277
NaN,NaN,18.287,NaN,NaN,0.66086
NaN,NaN,20.08,NaN,NaN,0.54598
NaN,NaN,19.459,NaN,NaN,0.89476
NaN,NaN,19.364,NaN,NaN,0.73489
NaN,NaN,19.468,NaN,NaN,0.65415
NaN,NaN,19.299,NaN,NaN,1.1955
NaN,NaN,18.944,NaN,NaN,1.2012
NaN,NaN,16.702,NaN,NaN,0.80942
NaN,NaN,18.141,NaN,NaN,1.3646
NaN,NaN,19.389,NaN,NaN,1.2487
NaN,NaN,18.746,NaN,NaN,1.4415
NaN,NaN,21.919,NaN,NaN,1.7036
0,0,17.349,NaN,NaN,3.4221
0,0,13.766,NaN,NaN,3.5829
0,0,9.5766,NaN,NaN,3.8812
0,0,9.3593,NaN,NaN,3.7447
0,0,9.4091,NaN,NaN,4.7215
0,0,8.9502,NaN,NaN,4.2455
0,0,4.5034,NaN,NaN,3.9546
0,0,2.3368,NaN,NaN,6.6093
0,0,2.1736,NaN,NaN,6.5207
0,0,1.8703,NaN,NaN,6.203
0,0,1.9209,NaN,NaN,6.3709
0,0,1.4815,NaN,NaN,5.3418
0,0,1.2022,NaN,NaN,4.3347
0,0,1.6974,NaN,NaN,6.3509
0,0,1.0752,NaN,NaN,4.4333
0,0,1.1372,NaN,NaN,4.957
0,0,0.72926,NaN,NaN,3.1788
0,0,0.91984,NaN,NaN,4.0095
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
