X_Ven_Gen,Y_Num_Cap_Ven,X_Art_Gen,Y_Num_Cap_Art,Length_Freq,Art_Len_Freq,Ven_Len_Freq,Cap_Len_Freq,Diameter_Freq,Art_Dia_Freq,Ven_Dia_Freq,Cap_Dia_Freq,Gen_Art,Art_Gen_Dia,Art_Gen_Len,Gen_Ven,Ven_Gen_Dia,Ven_Gen_Len,Gen_Cap,Cap_Gen_Dia,Cap_Gen_Len
0.853,-0.016,0.864,-0.056,100,0.215,0.16,0.085,2.5,0,0.003,0,1,32.11,406.468,1,49.378,397.015,3,7.027,546.766
1.912,-0.048,1.947,0.339,200,0.175,0.205,0.155,5,0.002,0,0.025,2,23.57,475.124,2,34.121,267.91,4,7.504,544.03
3.929,0.661,2.869,0.29,300,0.155,0.17,0.195,7.5,0.03,0.007,0.23,3,19.465,427.114,3,33.748,491.045,5,6.986,390.547
3.053,0.419,3.721,0.895,400,0.135,0.16,0.185,10,0.2,0.1,0.39,4,17.185,372.886,4,31.323,381.343,6,8.748,472.637
4.777,4.226,4.781,1.363,500,0.1,0.085,0.110,12.5,0.22,0.14,0.2,5,14.988,306.716,5,25.705,351.493,7,9.577,453.98
6.006,3.333,6.022,7.097,600,0.07,0.08,0.100,15,0.21,0.155,0.11,6,14.78,331.095,6,25.871,381.343,8,8.893,399.751
7.005,3.398,6.882,10.731,700,0.06,0.05,0.055,17.5,0.105,0.11,0.025,7,14.034,387.811,7,23.01,373.383,9,9.142,436.816
8.08,3.828,7.865,9.677,800,0.04,0.04,0.060,20,0.095,0.07,0.015,8,13.329,388.06,8,22.74,327.861,10,8.862,427.861
9.124,6.118,8.94,13.398,900,0.03,0.03,0.040,22.5,0.045,0.065,0.005,9,13.288,385.448,9,21.58,338.06,11,8.862,441.542
9.985,8.366,9.862,14.796,1000,0.02,0.02,0.015,25,0.035,0.05,0,10,13.08,345.522,10,23.176,353.483,12,8.831,459.701
10.968,6.882,10.753,19.032,,,,,27.5,0.007,0.065,0,11,13.412,383.209,11,22.533,285.075,13,8.738,434.328
12.043,11.247,11.889,13.011,,,,,30,0.025,0.05,0,12,12.832,291.045,12,21.414,379.104,14,9.608,442.786
14.04,11.333,12.811,12.086,,,,,32.5,0.005,0.05,0,13,12.293,382.09,13,23.259,361.194,15,8.613,403.234
14.992,11.333,13.856,14.28,,,,,35,0.007,0.03,0,14,12.127,323.134,14,20.315,339.552,16,8.862,369.652
16.006,7.591,14.839,13.333,,,,,37.5,0.002,0.035,0,15,12.044,296.642,15,21.517,283.085,17,8.955,404.229
16.928,6.968,15.822,11.355,,,,,40,0.007,0.02,0,16,11.381,275.124,16,21.476,309.453,18,8.706,385.821
18.095,6.71,16.866,10.731,,,,,42.5,0.002,0.02,0,17,12.002,337.313,17,19.507,316.418,19,8.489,346.517
19.171,7.484,17.911,7.14,,,,,45,0.002,0.015,0,18,12.293,299.502,18,21.02,306.965,20,8.986,353.731
13.026,15.269,18.863,8.473,,,,,47.5,0.001,0.01,0,19,10.676,218.408,19,21.02,238.308,21,8.862,435.572
20.061,5.634,19.816,3.828,,,,,50,0,0.005,0,20,11.816,232.836,20,20.087,280.348,22,9.049,345.522
20.983,6.215,20.799,4.022,,,,,,,,,21,10.282,296.02,21,19.362,299.254,,,
22.949,7.075,21.866,0.887,,,,,,,,,,,,22,19.983,307.463,,,
22.212,5.355,22.88,0.226,,,,,,,,,,,,23,16.148,305.97,,,
24.025,3.72,23.848,0.226,,,,,,,,,,,,24,16.667,330.099,,,
24.977,4.258,24.816,0.565,,,,,,,,,,,,25,15.299,299.751,,,
25.96,2.43,25.991,-0.048,,,,,,,,,,,,26,16.128,331.095,,,
27.035,3.14,,,,,,,,,,,,,,27,15.713,247.264,,,
28.018,2.989,,,,,,,,,,,,,,28,14.905,233.582,,,
28.971,4.882,,,,,,,,,,,,,,29,17.143,310.199,,,
30.046,2.108,,,,,,,,,,,,,,,,,,,
31.091,3.312,,,,,,,,,,,,,,,,,,,
32.012,6.194,,,,,,,,,,,,,,,,,,,
32.995,1.183,,,,,,,,,,,,,,,,,,,
33.886,0.581,,,,,,,,,,,,,,,,,,,
34.962,1.484,,,,,,,,,,,,,,,,,,,
36.006,0.989,,,,,,,,,,,,,,,,,,,
37.02,-0.054,,,,,,,,,,,,,,,,,,,
