dia_edges,g_dia_a,g_dia_v,g_dia_v,g_len_c,g_len_v,len_edges_lots
0,0,0,0,0,0,0
0.5,6.09E-05,7.26E-05,0.00091452,0.000286814,0.001140102,25
1,0.000640151,0.001484985,0.002926331,0.000678372,0.001646521,50
1.5,0.002330981,0.007263238,0.005593117,0.001049539,0.00193557,75
2,0.005497568,0.019774946,0.00865677,0.001364766,0.002091491,100
2.5,0.010219904,0.039056259,0.011935774,0.001613482,0.002157998,125
3,0.016343626,0.062963141,0.015296363,0.001796027,0.002162534,150
3.5,0.023557847,0.088232828,0.018638478,0.001917833,0.002123842,175
4,0.031470374,0.111592313,0.021887294,0.001986536,0.002055299,200
4.5,0.039668694,0.130502949,0.024987477,0.002010441,0.001966686,225
5,0.0477639,0.143473762,0.027899006,0.001997681,0.001865243,250
5.5,0.055418721,0.150042713,0.030594015,0.001955786,0.001756358,275
6,0.062362433,0.150567446,0.03305432,0.001891467,0.00164404,300
6.5,0.068395823,0.145946684,0.035269455,0.001810552,0.001531252,325
7,0.073389157,0.137352876,0.037235089,0.001717989,0.001420159,350
7.5,0.077275639,0.126017874,0.038951734,0.001617902,0.001312315,375
8,0.080042357,0.113084921,0.04042369,0.001513666,0.001208802,400
8.5,0.081720158,0.099522856,0.041658184,0.001407991,0.00111034,425
9,0.082373504,0.086090179,0.042664651,0.001303012,0.001017373,450
9.5,0.082090988,0.073334291,0.043454154,0.001200374,0.000930131,475
10,0.080976891,0.061612471,0.044038898,0.001101304,0.000848684,500
10.5,0.079144012,0.051123802,0.04443184,0.001006686,0.000772983,525
11,0.076707793,0.041944393,0.044646365,0.00091712,0.000702892,550
11.5,0.073781706,0.034060973,0.044696028,0.000832977,0.000638212,575
12,0.070473803,0.02740015,0.044594343,0.000754445,0.0005787,600
12.5,0.066884271,0.021852213,0.044354618,0.000681567,0.000524085,625
13,0.063103858,0.017289362,0.043989823,0.000614276,0.000474081,650
13.5,0.059212998,0.013578904,0.04351249,0.000552421,0.000428394,675
14,0.05528151,0.01059218,0.042934636,0.000495789,0.00038673,700
14.5,0.051368723,0.00821011,0.04226771,0.000444126,0.0003488,725
15,0.047523922,0.006326195,0.041522557,0.000397148,0.000314322,750
15.5,0.043787021,0.004847689,0.04070939,0.000354558,0.000283027,775
16,0.040189371,0.003695541,0.039837784,0.000316049,0.000254658,800
16.5,0.036754654,0.002803566,0.03891667,0.000281316,0.000228972,825
17,0.0334998,0.002117186,0.037954342,0.000250062,0.000205742,850
17.5,0.0304359,0.001591981,0.036958473,0.000221996,0.000184754,875
18,0.027569077,0.00119221,0.035936126,0.000196843,0.000165811,900
18.5,0.024901307,0.000889406,0.034893778,0.000174341,0.000148727,925
19,0.022431165,0.000661103,0.033837344,0.000154245,0.000133334,950
19.5,0.020154504,0.000489713,0.032772202,0.000136326,0.000119475,975
20,0.018065048,0.000361571,0.031703217,0.000120372,0.000107006,1000
20.5,0.016154924,0.000266131,0.030634774,0.000106187,9.58E-05,1025
21,0.014415104,0.000195304,0.029570802,9.36E-05,8.57E-05,1050
21.5,0.012835787,0.000142923,0.028514804,,,
22,0.011406722,0.00010431,0.027469884,,,
22.5,0.010117467,7.59E-05,0.026438775,,,
23,0.008957601,5.51E-05,0.025423865,,,
23.5,0.007916891,3.99E-05,0.024427222,,,
24,0.006985418,2.89E-05,0.02345062,,,
24.5,0.006153681,2.08E-05,0.022495563,,,
25,0.005412656,1.50E-05,0.021563305,,,
25.5,0.004753846,1.08E-05,0.020654873,,,
26,0.004169308,7.72E-06,0.01977109,,,
26.5,0.003651661,5.53E-06,0.018912586,,,
27,0.003194087,3.95E-06,0.018079826,,,
27.5,0.002790319,2.82E-06,0.017273118,,,
28,0.002434621,2.00E-06,0.016492633,,,
28.5,0.002121769,1.42E-06,0.015738422,,,
29,0.001847021,1.01E-06,0.015010421,,,
29.5,0.001606089,7.17E-07,0.014308472,,,
30,0.001395105,5.07E-07,0.013632332,,,
30.5,0.001210597,3.59E-07,0.01298168,,,
31,0.00104945,2.53E-07,0.012356133,,,
31.5,0.000908882,1.78E-07,0.011755249,,,
32,0.000786411,1.26E-07,0.01117854,,,
32.5,0.00067983,8.83E-08,0.010625475,,,
33,0.000587181,6.20E-08,0.010095492,,,
33.5,0.00050673,4.35E-08,0.009587999,,,
34,0.000436942,3.05E-08,0.009102385,,,
34.5,0.000376465,2.13E-08,0.008638019,,,
35,0.000324108,1.49E-08,0.008194259,,,
35.5,0.000278822,1.04E-08,0.007770454,,,
36,0.000239688,7.28E-09,0.007365951,,,
36.5,0.000205901,5.07E-09,0.006980092,,,
37,0.000176754,3.53E-09,0.006612223,,,
37.5,0.000151631,2.46E-09,0.006261692,,,
38,0.000129993,1.71E-09,0.005927856,,,
38.5,0.000111372,1.19E-09,0.005610078,,,
39,9.54E-05,8.24E-10,0.005307731,,,
39.5,8.16E-05,5.72E-10,0.005020201,,,
40,6.98E-05,3.96E-10,0.004746883,,,
40.5,5.96E-05,2.74E-10,0.00448719,,,
41,5.09E-05,1.90E-10,0.004240546,,,
41.5,4.35E-05,1.31E-10,0.004006392,,,
42,3.71E-05,9.07E-11,0.003784183,,,
42.5,3.17E-05,6.26E-11,0.003573392,,,
43,2.70E-05,4.32E-11,0.003373505,,,
43.5,2.30E-05,2.98E-11,0.003184028,,,
44,1.96E-05,2.05E-11,0.003004483,,,
44.5,1.67E-05,1.41E-11,0.002834406,,,
45,1.42E-05,9.73E-12,0.002673352,,,
45.5,1.21E-05,6.69E-12,0.002520892,,,
46,1.02E-05,4.60E-12,0.002376612,,,
46.5,8.71E-06,3.16E-12,0.002240116,,,
47,7.39E-06,2.17E-12,0.002111022,,,
47.5,6.28E-06,1.49E-12,0.001988964,,,
48,5.33E-06,1.02E-12,0.001873591,,,
48.5,4.52E-06,6.99E-13,0.001764568,,,
49,3.83E-06,4.79E-13,0.001661573,,,
49.5,3.25E-06,3.28E-13,0.001564297,,,
50,2.75E-06,2.25E-13,0.001472447,,,
